Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr)
Carpinus betulus,4.5,2.5,4.9,1.3,1.7,0.27
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.8,0.29
Celtis australis,15.0,11.5,103.9,4.5,2.1,0.33
Tilia cordata,6.0,2.5,4.9,1.8,1.1,0.18
Celtis australis,5.0,3.0,7.1,1.5,1.6,0.25
Carpinus betulus,6.0,2.0,3.1,1.8,0.6,0.1
Platanus x hispanica,5.0,4.0,12.6,1.5,3.0,0.48
Carpinus betulus,4.5,2.5,4.9,1.3,1.7,0.27
Tilia cordata,6.4,4.4,14.9,1.9,2.6,0.41
Celtis australis,4.0,8.0,50.3,1.2,1.3,0.21
Celtis australis,6.0,6.0,28.3,1.8,0.8,0.14
Tilia cordata,14.0,8.0,50.3,4.2,8.7,1.4
Tilia x europaea,12.0,8.0,50.3,3.6,23.2,3.72
Carpinus betulus,10.0,6.0,28.3,3.0,6.4,1.03
Tilia cordata,6.0,6.0,28.3,1.8,5.1,0.82
Tilia cordata,4.0,1.5,1.8,1.2,0.8,0.13
Tilia cordata,8.0,7.0,38.5,2.4,2.4,0.39
Celtis australis,12.0,10.0,78.5,3.6,1.6,0.26
Celtis australis,11.0,14.0,153.9,3.3,1.2,0.19
Tilia x europaea,15.0,8.0,50.3,4.5,23.2,3.72
Celtis australis,8.0,12.0,113.1,2.4,2.1,0.34
Platanus x hispanica,3.0,9.6,72.5,0.9,0.9,0.15
Celtis australis,15.0,12.0,113.1,4.5,1.9,0.3
Tilia cordata,10.0,10.0,78.5,3.0,4.9,0.78
Aesculus hippocastanum,10.0,4.0,12.6,3.0,17.6,2.83
Celtis australis,10.0,9.0,63.6,3.0,1.4,0.23
Platanus x hispanica,6.0,2.0,3.1,1.8,1.1,0.18
Carpinus betulus,4.0,2.0,3.1,1.2,3.2,0.52
Aesculus hippocastanum,14.0,8.0,50.3,4.2,14.5,2.33
Aesculus hippocastanum,9.5,8.0,50.3,2.8,15.4,2.48
Tilia cordata,20.0,7.0,38.5,6.0,12.5,2.0
Tilia x europaea,15.0,8.0,50.3,4.5,29.7,4.77
Celtis australis,12.0,9.0,63.6,3.6,2.0,0.32
Carpinus betulus,4.5,4.0,12.6,1.3,2.1,0.34
Carpinus betulus,10.0,14.0,153.9,3.0,0.3,0.05
Celtis australis,14.0,8.0,50.3,4.2,1.3,0.21
Aesculus hippocastanum,4.0,2.0,3.1,1.2,1.6,0.26
Carpinus betulus,4.5,2.5,4.9,1.3,2.1,0.34
Platanus x hispanica,24.0,18.0,254.5,7.2,33.3,5.34
Carpinus betulus,10.0,7.0,38.5,3.0,5.3,0.85
Tilia x europaea,18.0,10.0,78.5,5.4,40.1,6.45
Tilia cordata,9.0,8.0,50.3,2.7,6.0,0.97
Tilia cordata,4.0,2.5,4.9,1.2,1.1,0.18
Celtis australis,9.0,7.0,38.5,2.7,1.3,0.2
Tilia x europaea,5.0,1.5,1.8,1.5,0.8,0.13
Carpinus betulus,8.0,12.0,113.1,2.4,6.3,1.01
Tilia x europaea,4.0,2.0,3.1,1.2,1.1,0.17
Carpinus betulus,13.0,4.0,12.6,3.9,3.9,0.63
Carpinus betulus,6.0,3.0,7.1,1.8,1.1,0.18
Tilia x europaea,10.0,8.0,50.3,3.0,10.6,1.7
Tilia cordata,6.0,6.0,28.3,1.8,2.1,0.34
Celtis australis,10.0,8.0,50.3,3.0,1.4,0.23
Tilia cordata,6.0,5.0,19.6,1.8,1.9,0.31
Platanus x hispanica,6.0,5.0,19.6,1.8,3.0,0.48
Carpinus betulus,10.0,7.0,38.5,3.0,6.4,1.03
Tilia cordata,4.5,4.0,12.6,1.3,1.9,0.31
Platanus x hispanica,17.0,15.0,176.7,5.1,34.9,5.61
Aesculus hippocastanum,7.0,4.0,12.6,2.1,13.6,2.19
Celtis australis,8.0,8.0,50.3,2.4,1.0,0.15
Tilia x europaea,8.0,10.0,78.5,2.4,11.6,1.87
Aesculus hippocastanum,9.0,8.0,50.3,2.7,9.6,1.54
Platanus x hispanica,6.5,5.0,19.6,1.9,3.0,0.48
Celtis australis,15.0,13.0,132.7,4.5,1.9,0.3
Aesculus hippocastanum,8.0,6.0,28.3,2.4,5.7,0.91
Celtis australis,5.0,6.0,28.3,1.5,1.3,0.2
Aesculus hippocastanum,9.0,9.0,63.6,2.7,22.5,3.62
Celtis australis,12.0,12.0,113.1,3.6,1.3,0.21
Aesculus hippocastanum,3.0,1.0,0.8,0.9,1.6,0.26
Tilia cordata,5.5,5.0,19.6,1.7,1.7,0.28
Aesculus hippocastanum,3.5,3.0,7.1,1.0,1.6,0.26
Carpinus betulus,4.0,2.0,3.1,1.2,3.5,0.55
Tilia cordata,5.0,3.0,7.1,1.5,1.1,0.18
Platanus x hispanica,6.5,5.0,19.6,1.9,3.2,0.52
Celtis australis,6.0,5.0,19.6,1.8,1.2,0.2
Platanus x hispanica,14.0,15.0,176.7,4.2,15.7,2.53
Tilia x europaea,12.0,10.0,78.5,3.6,36.6,5.87
Tilia cordata,6.0,5.0,19.6,1.8,1.6,0.25
Tilia x europaea,13.0,11.0,95.0,3.9,19.5,3.13
Carpinus betulus,6.0,4.0,12.6,1.8,2.3,0.37
Tilia cordata,8.0,4.0,12.6,2.4,1.9,0.31
Tilia cordata,5.0,3.0,7.1,1.5,1.3,0.2
Celtis australis,6.0,6.0,28.3,1.8,1.1,0.17
Platanus x hispanica,7.0,7.0,38.5,2.1,3.5,0.56
Tilia x europaea,7.0,4.0,12.6,2.1,4.6,0.73
Platanus x hispanica,12.0,10.0,78.5,3.6,6.7,1.08
Tilia cordata,6.0,6.0,28.3,1.8,1.6,0.25
Carpinus betulus,5.0,4.0,12.6,1.5,3.5,0.55
Tilia cordata,4.5,4.0,12.6,1.3,1.4,0.23
Platanus x hispanica,16.0,21.0,346.4,4.8,36.5,5.86
Platanus x hispanica,8.0,6.0,28.3,2.4,5.7,0.91
Platanus x hispanica,24.0,18.0,254.5,7.2,34.9,5.61
Tilia cordata,7.0,6.0,28.3,2.1,3.2,0.52
Aesculus hippocastanum,5.5,4.0,12.6,1.7,2.9,0.47
Tilia cordata,18.0,7.0,38.5,5.4,13.9,2.23
Celtis australis,12.0,12.0,113.1,3.6,1.9,0.3
Celtis australis,6.0,5.0,19.6,1.8,0.7,0.11
Platanus x hispanica,6.0,3.0,7.1,1.8,1.5,0.24
Tilia x europaea,5.0,1.5,1.8,1.5,2.6,0.43
Platanus x hispanica,17.0,18.0,254.5,5.1,36.5,5.86
Tilia x europaea,4.0,2.5,4.9,1.2,2.3,0.37
Celtis australis,12.0,9.0,63.6,3.6,2.1,0.34
Celtis australis,5.0,4.0,12.6,1.5,0.9,0.15
Tilia cordata,5.0,3.0,7.1,1.5,1.3,0.2
Tilia cordata,5.0,3.0,7.1,1.5,2.4,0.39
Celtis australis,6.0,6.0,28.3,1.8,1.2,0.19
Celtis australis,8.3,6.7,35.2,2.5,1.3,0.21
Carpinus betulus,4.0,3.0,7.1,1.2,1.7,0.27
Aesculus hippocastanum,11.0,10.0,78.5,3.3,17.7,2.84
Carpinus betulus,6.0,5.0,19.6,1.8,2.7,0.44
Tilia x europaea,6.0,4.0,12.6,1.8,7.2,1.15
Aesculus hippocastanum,3.0,1.5,1.8,0.9,1.2,0.2
Celtis australis,10.0,8.0,50.3,3.0,1.8,0.3
Carpinus betulus,4.0,2.0,3.1,1.2,3.5,0.55
Aesculus hippocastanum,3.0,1.5,1.8,0.9,1.2,0.2
Tilia x europaea,5.0,5.0,19.6,1.5,13.8,2.21
Celtis australis,6.0,6.0,28.3,1.8,1.2,0.19
Celtis australis,12.0,4.0,12.6,3.6,0.8,0.13
Aesculus hippocastanum,15.0,8.0,50.3,4.5,21.3,3.43
Carpinus betulus,7.0,2.0,3.1,2.1,2.3,0.37
Carpinus betulus,9.0,5.0,19.6,2.7,6.7,1.08
Tilia x europaea,4.0,1.0,0.8,1.2,4.6,0.73
Carpinus betulus,6.2,3.6,10.1,1.9,3.2,0.52
Tilia x europaea,6.0,4.0,12.6,1.8,7.2,1.15
Celtis australis,7.0,5.0,19.6,2.1,1.1,0.18
Celtis australis,8.3,6.7,35.2,2.5,1.3,0.21
Celtis australis,15.0,12.0,113.1,4.5,1.9,0.3
Celtis australis,4.5,3.0,7.1,1.3,0.7,0.11
Tilia cordata,8.0,4.0,12.6,2.4,2.6,0.42
Celtis australis,9.0,11.0,95.0,2.7,1.9,0.3
Aesculus hippocastanum,7.0,10.0,78.5,2.1,13.2,2.13
Celtis australis,8.0,4.0,12.6,2.4,1.3,0.2
Celtis australis,6.0,5.0,19.6,1.8,1.8,0.29
Aesculus hippocastanum,7.0,6.0,28.3,2.1,13.2,2.13
Celtis australis,6.0,4.0,12.6,1.8,0.9,0.15
Celtis australis,10.0,10.0,78.5,3.0,1.3,0.21
Aesculus hippocastanum,4.0,2.0,3.1,1.2,1.4,0.23
Tilia x europaea,7.0,4.0,12.6,2.1,3.4,0.54
Tilia x europaea,3.0,2.0,3.1,0.9,4.6,0.73
Aesculus hippocastanum,11.0,7.0,38.5,3.3,22.2,3.57
Platanus x hispanica,10.0,8.0,50.3,3.0,12.6,2.03
Aesculus hippocastanum,12.0,10.0,78.5,3.6,18.6,2.99
Celtis australis,8.3,6.7,35.2,2.5,1.3,0.21
Carpinus betulus,5.0,3.5,9.6,1.5,2.1,0.34
Carpinus betulus,8.0,3.0,7.1,2.4,3.9,0.63
Platanus x hispanica,8.0,8.0,50.3,2.4,3.5,0.56
Celtis australis,5.0,3.0,7.1,1.5,0.7,0.1
Celtis australis,5.0,2.0,3.1,1.5,0.8,0.14
Tilia cordata,5.0,4.0,12.6,1.5,1.9,0.31
Platanus x hispanica,7.0,7.0,38.5,2.1,3.0,0.48
Platanus x hispanica,3.0,9.6,72.5,0.9,0.9,0.15
Aesculus hippocastanum,6.0,3.0,7.1,1.8,2.3,0.37
Carpinus betulus,12.0,8.0,50.3,3.6,6.6,1.05
Platanus x hispanica,25.0,14.0,153.9,7.5,36.5,5.86
Platanus x hispanica,23.0,12.0,113.1,6.9,34.9,5.61
Celtis australis,5.0,5.0,19.6,1.5,2.0,0.33
Carpinus betulus,4.0,2.0,3.1,1.2,3.5,0.55
Platanus x hispanica,6.0,4.0,12.6,1.8,2.2,0.35
Tilia x europaea,11.0,11.0,95.0,3.3,16.0,2.57
Tilia x europaea,15.0,7.0,38.5,4.5,23.2,3.72
Tilia cordata,6.0,4.0,12.6,1.8,2.4,0.39
Carpinus betulus,4.5,2.5,4.9,1.3,1.5,0.24
Celtis australis,4.5,4.0,12.6,1.3,0.8,0.14
Platanus x hispanica,18.0,15.0,176.7,5.4,6.7,1.07
Carpinus betulus,6.0,4.0,12.6,1.8,2.3,0.37
Aesculus hippocastanum,8.0,6.0,28.3,2.4,8.5,1.37
Tilia x europaea,5.0,1.5,1.8,1.5,2.6,0.43
Tilia x europaea,6.0,8.0,50.3,1.8,14.3,2.3
Tilia x europaea,10.0,7.0,38.5,3.0,29.7,4.77
Tilia cordata,21.0,9.0,63.6,6.3,14.2,2.28
Celtis australis,15.0,12.0,113.1,4.5,1.9,0.3
Celtis australis,16.0,9.0,63.6,4.8,1.8,0.29
Celtis australis,8.3,6.7,35.2,2.5,1.3,0.21
Carpinus betulus,3.0,1.0,0.8,0.9,0.8,0.13
Tilia x europaea,12.0,5.6,24.3,3.6,3.4,0.54
Celtis australis,8.0,7.0,38.5,2.4,0.8,0.13
Platanus x hispanica,23.0,21.0,346.4,6.9,34.9,5.61
Celtis australis,3.0,3.0,7.1,0.9,0.8,0.12
Tilia x europaea,12.0,10.0,78.5,3.6,10.1,1.62
Celtis australis,6.0,4.0,12.6,1.8,1.3,0.21
Platanus x hispanica,18.0,16.0,201.1,5.4,25.6,4.12
Tilia cordata,5.0,5.0,19.6,1.5,2.3,0.36
Carpinus betulus,4.0,5.0,19.6,1.2,1.7,0.27
Tilia cordata,8.0,7.0,38.5,2.4,2.8,0.45
Carpinus betulus,6.0,5.0,19.6,1.8,3.2,0.52
Celtis australis,6.0,4.0,12.6,1.8,0.7,0.11
Platanus x hispanica,5.0,3.0,7.1,1.5,1.3,0.21
Platanus x hispanica,6.0,6.0,28.3,1.8,3.8,0.61
Celtis australis,4.0,8.0,50.3,1.2,1.5,0.24
Aesculus hippocastanum,12.0,12.0,113.1,3.6,22.3,3.58
Platanus x hispanica,7.0,3.0,7.1,2.1,2.2,0.35
Platanus x hispanica,8.0,5.0,19.6,2.4,5.7,0.91
Tilia cordata,6.0,5.0,19.6,1.8,2.6,0.42
Carpinus betulus,8.0,2.0,3.1,2.4,1.7,0.27
Tilia cordata,4.0,2.5,4.9,1.2,1.1,0.18
Aesculus hippocastanum,8.4,6.4,32.7,2.5,9.4,1.51
Aesculus hippocastanum,12.0,5.0,19.6,3.6,9.8,1.57
Tilia cordata,4.0,2.0,3.1,1.2,1.1,0.18
Tilia cordata,4.5,2.5,4.9,1.3,1.0,0.16
Celtis australis,15.0,11.0,95.0,4.5,2.1,0.33
Tilia x europaea,7.0,9.0,63.6,2.1,14.9,2.39
Aesculus hippocastanum,3.0,1.0,0.8,0.9,1.6,0.26
Celtis australis,17.0,12.0,113.1,5.1,0.4,0.07
Celtis australis,9.0,7.0,38.5,2.7,1.4,0.22
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.3,0.2
Aesculus hippocastanum,10.0,4.0,12.6,3.0,12.6,2.03
Tilia x europaea,9.0,6.0,28.3,2.7,17.7,2.85
Aesculus hippocastanum,11.0,11.0,95.0,3.3,22.2,3.57
Platanus x hispanica,6.0,4.0,12.6,1.8,1.7,0.28
Tilia cordata,4.5,3.0,7.1,1.3,0.8,0.13
Platanus x hispanica,6.0,4.0,12.6,1.8,3.0,0.48
Platanus x hispanica,28.0,25.0,490.9,8.4,0.3,0.04
Tilia cordata,6.0,6.0,28.3,1.8,2.4,0.39
Platanus x hispanica,4.0,1.0,0.8,1.2,0.9,0.15
Aesculus hippocastanum,7.0,4.0,12.6,2.1,7.8,1.25
Aesculus hippocastanum,5.6,2.5,4.9,1.7,1.9,0.3
Platanus x hispanica,7.0,3.0,7.1,2.1,1.7,0.28
Carpinus betulus,12.0,3.0,7.1,3.6,3.9,0.63
Tilia x europaea,16.0,9.0,63.6,4.8,34.8,5.59
Celtis australis,4.0,1.5,1.8,1.2,0.5,0.08
Aesculus hippocastanum,8.0,6.0,28.3,2.4,9.6,1.54
Platanus x hispanica,16.0,8.0,50.3,4.8,25.6,4.12
Tilia cordata,7.0,6.0,28.3,2.1,2.4,0.39
Carpinus betulus,10.0,10.0,78.5,3.0,5.3,0.85
Aesculus hippocastanum,3.0,1.5,1.8,0.9,0.9,0.15
Tilia cordata,6.0,4.0,12.6,1.8,2.1,0.34
Tilia cordata,8.0,6.0,28.3,2.4,1.9,0.31
Celtis australis,7.0,6.0,28.3,2.1,0.9,0.15
Carpinus betulus,6.0,3.0,7.1,1.8,4.5,0.72
Celtis australis,6.0,8.0,50.3,1.8,1.5,0.24
Tilia cordata,4.0,3.0,7.1,1.2,1.0,0.16
Aesculus hippocastanum,8.0,6.0,28.3,2.4,13.3,2.14
Celtis australis,6.0,4.0,12.6,1.8,0.9,0.14
Celtis australis,18.0,9.0,63.6,5.4,2.2,0.35
Tilia cordata,7.0,6.0,28.3,2.1,2.4,0.39
Tilia cordata,11.0,8.0,50.3,3.3,5.3,0.86
Tilia cordata,3.5,2.0,3.1,1.0,0.6,0.09
Aesculus hippocastanum,4.5,3.5,9.6,1.3,2.9,0.47
Tilia x europaea,3.0,2.0,3.1,0.9,4.2,0.67
Tilia x europaea,15.0,8.0,50.3,4.5,26.4,4.24
Tilia cordata,5.5,5.0,19.6,1.7,2.1,0.34
Tilia cordata,5.0,3.0,7.1,1.5,1.9,0.31
Aesculus hippocastanum,4.0,3.0,7.1,1.2,1.3,0.2
Celtis australis,4.5,3.0,7.1,1.3,0.7,0.11
Celtis australis,5.0,3.0,7.1,1.5,0.7,0.1
Carpinus betulus,6.0,4.0,12.6,1.8,3.6,0.57
Platanus x hispanica,6.0,2.5,4.9,1.8,1.5,0.24
Platanus x hispanica,24.0,16.0,201.1,7.2,36.5,5.86
Carpinus betulus,8.0,8.0,50.3,2.4,1.8,0.29
Carpinus betulus,8.0,4.0,12.6,2.4,2.7,0.44
Carpinus betulus,3.0,1.0,0.8,0.9,1.0,0.15
Aesculus hippocastanum,3.0,2.0,3.1,0.9,1.4,0.23
Aesculus hippocastanum,8.0,6.0,28.3,2.4,3.5,0.56
Platanus x hispanica,25.0,10.0,78.5,7.5,0.3,0.04
Carpinus betulus,2.5,2.0,3.1,0.8,1.5,0.24
Celtis australis,4.0,2.0,3.1,1.2,0.5,0.08
Celtis australis,9.0,14.0,153.9,2.7,1.6,0.25
Celtis australis,16.0,4.0,12.6,4.8,1.6,0.26
Celtis australis,7.0,6.0,28.3,2.1,1.0,0.16
Platanus x hispanica,16.0,12.0,113.1,4.8,34.9,5.61
Platanus x hispanica,6.0,5.0,19.6,1.8,3.5,0.56
Celtis australis,4.0,2.0,3.1,1.2,0.8,0.13
Tilia cordata,4.0,2.0,3.1,1.2,1.1,0.18
Carpinus betulus,6.0,4.0,12.6,1.8,5.3,0.85
Celtis australis,9.0,7.0,38.5,2.7,1.4,0.22
Platanus x hispanica,24.0,14.0,153.9,7.2,36.5,5.86
Aesculus hippocastanum,9.0,4.0,12.6,2.7,17.5,2.82
Tilia cordata,5.0,4.0,12.6,1.5,1.1,0.18
Aesculus hippocastanum,9.0,9.0,63.6,2.7,18.0,2.89
Tilia x europaea,6.0,8.0,50.3,1.8,13.8,2.21
Celtis australis,11.0,10.0,78.5,3.3,1.6,0.25
Tilia cordata,7.0,5.0,19.6,2.1,6.0,0.97
Tilia cordata,10.0,6.0,28.3,3.0,2.4,0.39
Carpinus betulus,4.0,2.0,3.1,1.2,3.5,0.55
Tilia cordata,10.0,6.0,28.3,3.0,3.8,0.61
Aesculus hippocastanum,10.0,12.0,113.1,3.0,27.0,4.34
Carpinus betulus,12.0,8.0,50.3,3.6,6.8,1.09
Tilia x europaea,5.0,2.0,3.1,1.5,5.8,0.94
Carpinus betulus,7.5,6.0,28.3,2.3,1.0,0.15
Celtis australis,6.0,4.0,12.6,1.8,1.0,0.16
Aesculus hippocastanum,15.0,5.0,19.6,4.5,12.9,2.08
Celtis australis,15.0,12.5,122.7,4.5,2.1,0.34
Platanus x hispanica,7.0,6.0,28.3,2.1,3.8,0.61
Celtis australis,7.0,6.0,28.3,2.1,1.1,0.18
Tilia x europaea,10.0,10.0,78.5,3.0,36.6,5.87
Platanus x hispanica,12.0,4.0,12.6,3.6,8.2,1.31
Aesculus hippocastanum,11.0,10.0,78.5,3.3,17.7,2.84
Celtis australis,10.0,8.0,50.3,3.0,1.5,0.24
Tilia x europaea,6.0,6.0,28.3,1.8,6.7,1.08
Carpinus betulus,8.0,8.0,50.3,2.4,3.9,0.63
Aesculus hippocastanum,7.0,8.0,50.3,2.1,9.5,1.53
Celtis australis,13.0,8.0,50.3,3.9,1.5,0.24
Platanus x hispanica,3.0,1.0,0.8,0.9,1.1,0.18
Tilia x europaea,5.0,4.0,12.6,1.5,6.3,1.01
Celtis australis,14.0,11.5,103.9,4.2,2.0,0.32
Celtis australis,9.0,9.0,63.6,2.7,1.2,0.19
Aesculus hippocastanum,15.0,8.0,50.3,4.5,13.0,2.08
Carpinus betulus,4.0,1.5,1.8,1.2,2.1,0.34
Platanus x hispanica,24.0,19.0,283.5,7.2,30.1,4.83
Celtis australis,4.0,2.0,3.1,1.2,0.8,0.12
Tilia x europaea,5.0,3.0,7.1,1.5,2.6,0.43
Celtis australis,5.0,4.0,12.6,1.5,0.8,0.12
Celtis australis,9.0,8.0,50.3,2.7,1.2,0.19
Celtis australis,8.3,6.7,35.2,2.5,1.3,0.21
Celtis australis,17.0,13.0,132.7,5.1,1.8,0.29
Celtis australis,13.0,10.0,78.5,3.9,2.2,0.35
Celtis australis,10.0,8.0,50.3,3.0,1.4,0.23
Platanus x hispanica,20.0,12.0,113.1,6.0,36.5,5.86
Tilia cordata,6.0,5.0,19.6,1.8,6.0,0.97
Tilia x europaea,8.0,8.0,50.3,2.4,14.3,2.3
Carpinus betulus,12.0,6.0,28.3,3.6,3.7,0.59
Celtis australis,7.0,5.0,19.6,2.1,0.8,0.14
Celtis australis,8.0,3.0,7.1,2.4,1.0,0.16
Tilia cordata,6.0,5.0,19.6,1.8,1.9,0.31
Tilia cordata,5.0,3.0,7.1,1.5,1.1,0.18
Aesculus hippocastanum,12.0,8.0,50.3,3.6,17.7,2.85
Aesculus hippocastanum,3.5,1.5,1.8,1.0,0.9,0.15
Celtis australis,5.0,6.0,28.3,1.5,1.3,0.21
Platanus x hispanica,19.0,13.0,132.7,5.7,31.0,4.98
Tilia cordata,7.0,6.0,28.3,2.1,3.2,0.52
Carpinus betulus,9.0,6.0,28.3,2.7,5.5,0.89
Platanus x hispanica,6.0,3.0,7.1,1.8,1.5,0.24
Aesculus hippocastanum,5.0,3.0,7.1,1.5,2.9,0.47
Celtis australis,14.0,11.0,95.0,4.2,2.2,0.35
Tilia cordata,5.0,4.0,12.6,1.5,1.1,0.18
Carpinus betulus,6.0,7.0,38.5,1.8,3.7,0.59
Carpinus betulus,8.0,5.0,19.6,2.4,3.2,0.52
Tilia cordata,4.5,5.0,19.6,1.3,1.4,0.23
Celtis australis,6.0,5.0,19.6,1.8,1.3,0.2
Platanus x hispanica,28.0,25.0,490.9,8.4,3.1,0.5
Celtis australis,14.0,11.0,95.0,4.2,1.4,0.23
Carpinus betulus,6.0,4.0,12.6,1.8,2.3,0.37
Celtis australis,11.0,9.0,63.6,3.3,1.4,0.22
Celtis australis,13.0,12.5,122.7,3.9,2.0,0.33
Tilia x europaea,7.0,6.0,28.3,2.1,8.6,1.38
Aesculus hippocastanum,14.0,8.0,50.3,4.2,13.3,2.13
Celtis australis,8.0,6.0,28.3,2.4,1.1,0.17
Aesculus hippocastanum,4.5,4.0,12.6,1.3,1.6,0.26
Aesculus hippocastanum,6.0,5.0,19.6,1.8,9.8,1.57
Tilia x europaea,5.0,5.0,19.6,1.5,16.0,2.57
Tilia x europaea,15.0,14.0,153.9,4.5,17.1,2.75
Celtis australis,5.0,2.5,4.9,1.5,0.7,0.1
Celtis australis,6.0,2.0,3.1,1.8,1.3,0.21
Platanus x hispanica,6.0,5.0,19.6,1.8,3.0,0.48
Celtis australis,15.0,8.0,50.3,4.5,1.3,0.21
Aesculus hippocastanum,3.0,2.0,3.1,0.9,1.2,0.2
Celtis australis,10.0,9.0,63.6,3.0,1.2,0.19
Tilia cordata,4.5,3.0,7.1,1.3,2.1,0.34
Celtis australis,4.0,2.0,3.1,1.2,0.6,0.1
Carpinus betulus,4.5,2.0,3.1,1.3,1.5,0.24
Celtis australis,12.0,10.0,78.5,3.6,1.8,0.3
Tilia cordata,6.0,4.0,12.6,1.8,1.9,0.31
Celtis australis,4.0,4.0,12.6,1.2,0.8,0.12
Carpinus betulus,8.0,2.0,3.1,2.4,1.7,0.27
Celtis australis,12.0,10.0,78.5,3.6,2.0,0.32
Celtis australis,7.0,9.0,63.6,2.1,1.3,0.21
Carpinus betulus,3.0,2.0,3.1,0.9,1.9,0.3
Aesculus hippocastanum,10.5,8.0,50.3,3.2,14.7,2.36
Tilia x europaea,16.0,10.0,78.5,4.8,43.8,7.04
Aesculus hippocastanum,4.0,4.0,12.6,1.2,1.3,0.2
Carpinus betulus,4.5,2.0,3.1,1.3,1.5,0.24
Tilia cordata,4.0,1.0,0.8,1.2,0.7,0.11
Platanus x hispanica,25.0,21.0,346.4,7.5,8.1,1.31
Aesculus hippocastanum,9.0,8.0,50.3,2.7,18.4,2.96
